cause,cause_cluster,effect,effect_cluster,text,id
a truly unfortunate,4,the devastating tragedy,4,a truly unfortunate series of events lead to the devastating tragedy that we know as the fukushima nuclear disaster whose effects we can still feel to this day.,350
the tragedy,4,the setsuden movement,2,wow!this tweet describes the tragedy that sparked the setsuden movement in japan which called for nation wide reduction in energy consumption in households and businesses. it also describes the consequences of the tohoku earthquake and how it led to the fukushima nuclear disaste,351
the tohoku earthquake,15,the fukushima nuclear disaste,0,wow!this tweet describes the tragedy that sparked the setsuden movement in japan which called for nation wide reduction in energy consumption in households and businesses. it also describes the consequences of the tohoku earthquake and how it led to the fukushima nuclear disaste,352
the fukushima nuclear disaster,0,an energy shortage,2,"the fukushima nuclear disaster in japan displaced many people and led to an energy shortage in japan, which led to an energy-saving movement! saveenergy nuclearpower nucleardisaste",353
an energy shortage,2,an energy,2,"the fukushima nuclear disaster in japan displaced many people and led to an energy shortage in japan, which led to an energy-saving movement! saveenergy nuclearpower nucleardisaste",354
the fukushima disaster,0,the events,12,"the events following the fukushima disaster are honestly devastating, honestly i think the one good thing that came of it was the setsuden movement. crazy how little i knew of this before.",355
an earthquake,1,a nuclear disaster,0,"in fukushima, a nuclear disaster was caused because of an earthquake on march 11, 2011. the effects of this disaster are still present to this day as the people who had been living in the are had been relocated and health concerns are still prominent. ",356
earthquakes,1,the fukushima nuclear disaster,0,"the fukushima nuclear disaster was attributed to earthquakes in japan. like people in japan are doing already, authorities recommended to consume less power. citizens followed suit, and japan became very conscious about energy consumption.",357
the earthquake,1,a tsunami,6,the terrible turn of events in japan with the earthquake causing a tsunami that destroyed the nuclear power plant releasing radioactive materials into the pacific ocean shows the power,358
an earthquake,1,a disaster,4,a disaster happened in 2011 that was caused by an earthquake. a nuclear disaster. ,359
the fukushima tsunami,0,a heartbreaking and traumatic experience,4,the fukushima tsunami prompted a heartbreaking and traumatic experience for the future of japan. it is important to understand the long-term effects events such as these has on the public and the turmoil that inevitably ruins lives for years following. we pray for japan - for all,360
the tohuku earthquake,15,the 2011 nuclear disaster,-1,"the 2011 nuclear disaster in japan, caused by the tohuku earthquake, has harmed a huge amount of the world. over 150,000 people were displaced as a result, and so, we should do what we can to help. setsuden savingenergy earth earthquake tsunami radioactive japan ",361
the tohuku earthquake,15,displaced,14,"the 2011 nuclear disaster in japan, caused by the tohuku earthquake, has harmed a huge amount of the world. over 150,000 people were displaced as a result, and so, we should do what we can to help. setsuden savingenergy earth earthquake tsunami radioactive japan ",362
the tohoku earthquake,15,a nuclear accident,0,"breaking news: authorities and other sources have confirmed a nuclear accident at the daiichi nuclear power plant due to the tohoku earthquake. as it inflicted harm to the greater community, it has acted as source of inspiration for the community to cut back on electricity. ",363
the fukushima nuclear disaster,0,negative consequences,5,"the fukushima nuclear disaster caused a wave of negative consequences locally and globally, from an exclusion zone to displacement to an energy shortage. ",364
japanese usage,1,a huge affect,5, japanese usage of technology has caused a huge affect on teens being at risk for thyroid cancer. with the new trend to lay off technology japan has implemented a new shift in order to keep their people safe.,365
earthquake,1,nuclear disaster,0,earthquake causes nuclear disaster in fukushima japan nuclear disaster fukushima powerplant earthquake,366
the 2011 fukushima disaster,0,severe nuclear damage,0,"the 2011 fukushima disaster, triggered by a massive earthquake and tsunami, caused severe nuclear damage and long-term impacts. the energy crisis birthed the setsuden movement, significantly reducing japan's energy use. fukushima nucleardisaster japan tsunami earthquake",367
the 2011 fukushima disaster,0,long,-1,"the 2011 fukushima disaster, triggered by a massive earthquake and tsunami, caused severe nuclear damage and long-term impacts. the energy crisis birthed the setsuden movement, significantly reducing japan's energy use. fukushima nucleardisaster japan tsunami earthquake",368
a massive earthquake,1,the 2011 fukushima disaster,0,"the 2011 fukushima disaster, triggered by a massive earthquake and tsunami, caused severe nuclear damage and long-term impacts. the energy crisis birthed the setsuden movement, significantly reducing japan's energy use. fukushima nucleardisaster japan tsunami earthquake",369
tsunami,6,the 2011 fukushima disaster,0,"the 2011 fukushima disaster, triggered by a massive earthquake and tsunami, caused severe nuclear damage and long-term impacts. the energy crisis birthed the setsuden movement, significantly reducing japan's energy use. fukushima nucleardisaster japan tsunami earthquake",370
the energy crisis,2,the setsuden movement,2,"the 2011 fukushima disaster, triggered by a massive earthquake and tsunami, caused severe nuclear damage and long-term impacts. the energy crisis birthed the setsuden movement, significantly reducing japan's energy use. fukushima nucleardisaster japan tsunami earthquake",371
tohoku earthquake,15,destruction,13,"tōhoku earthquake leads to destruction of the daiichi nuclear power plant in fukushima, japan causing global and local damage. ",372
destruction,13,global and local damage,7,"tōhoku earthquake leads to destruction of the daiichi nuclear power plant in fukushima, japan causing global and local damage. ",373
natural disaster,17,wreckage,16,"natural disaster causes wreckage to japanese nuclear plant. in turn, the nearby communities and ecosystems were exposed to radiation which may cause cancer.
naturaldisaster earthquake nuclear",374
